,id_str,created_at,text,entities.hashtags,lang,user.screen_name,user.id_str,user.followers_count,user.friends_count,retweeted_status.id_str,retweeted_status.created_at,retweeted_status.text,retweeted_status.entities.hashtags,retweeted_status.lang,retweeted_status.user.screen_name,retweeted_status.user.id_str,retweeted_status.user.followers_count,retweeted_status.user.friends_count
200,911052517060104192,Fri Sep 22 02:20:21 +0000 2017,"A scandal in Bohemia: The tangled affairs of the probable next Czech prime minister
#Brexit #EuropeanUnion
https://t.co/WPDh3WFVVK","['Brexit', 'EuropeanUnion']",en,BrexshitTrade,872773372559712256,346,343,,,,NO HASHTAGS,,,,,
201,911052521233420290,Fri Sep 22 02:20:22 +0000 2017,"Trick or treaty: Brexit may frustrate co-operation on security in Europe
#Brexit #EuropeanUnion
https://t.co/tiSZCdAZtN","['Brexit', 'EuropeanUnion']",en,BrexshitTrade,872773372559712256,346,343,,,,NO HASHTAGS,,,,,
202,911052523401773056,Fri Sep 22 02:20:22 +0000 2017,"Going postal: Charlemagne: the row over “posted workers”
#Brexit #EuropeanUnion
https://t.co/ZaSRFuvsF2","['Brexit', 'EuropeanUnion']",en,BrexshitTrade,872773372559712256,346,343,,,,NO HASHTAGS,,,,,
203,911052534172852225,Fri Sep 22 02:20:25 +0000 2017,RT @realpolitik36: La revolució del somriures. #UnaNacio #Referendum #1oct #VolemVotar #Catalunya #Puigdemont https://t.co/7IXAFqvJKc,"['UnaNacio', 'Referendum', '1oct', 'VolemVotar', 'Catalunya', 'Puigdemont']",und,Nenufar87,3221849296,33,236,910185805678866432,Tue Sep 19 16:56:21 +0000 2017,La revolució del somriures. #UnaNacio #Referendum #1oct #VolemVotar #Catalunya #Puigdemont https://t.co/7IXAFqvJKc,"['UnaNacio', 'Referendum', '1oct', 'VolemVotar', 'Catalunya', 'Puigdemont']",und,realpolitik36,1857923407,217.0,283.0
204,911052578468667393,Fri Sep 22 02:20:35 +0000 2017,"@Brexit @jillianfward #Bloomberg won't be reporting EU moves to extend grip on financial sector after Brexit
https://t.co/2sPpF9t8uk #Brexit","['Bloomberg', 'Brexit']",en,SpencerCampbeli,438324038,918,1047,,,,NO HASHTAGS,,,,,
205,911052592461107200,Fri Sep 22 02:20:39 +0000 2017,"RT @pardodevera: Si tenemos un Gobierno que pasa la pelota de sus problemas políticos al Poder Judicial, ¿para qué queremos un Gobierno? 🤔…",NO HASHTAGS,es,bochan74,908388553419304960,5,48,910417260417896448,Wed Sep 20 08:16:04 +0000 2017,"Si tenemos un Gobierno que pasa la pelota de sus problemas políticos al Poder Judicial, ¿para qué queremos un Gobierno? 🤔
#referendum",['referendum'],es,pardodevera,107153756,64087.0,2379.0
206,911052610248912901,Fri Sep 22 02:20:43 +0000 2017,"Click HERE▶️https://t.co/hp01P96aHM
#EU #News #EuropeUnion
➡️Bernd Buchholz Was hat Sie geritten, in die Politik zu… https://t.co/9zSnS9PsDk","['EU', 'News', 'EuropeUnion']",de,EuropeUnion,194119186,9489,586,,,,NO HASHTAGS,,,,,
207,911052644789055488,Fri Sep 22 02:20:51 +0000 2017,"RT @STForeignDesk: News analysis: Time running out for #TheresaMay to resolve #Brexit impasse 
https://t.co/3rtuXd92tk https://t.co/9GnXBYk…","['TheresaMay', 'Brexit']",en,s_navroop,313385516,17567,3039,911026105540239360,Fri Sep 22 00:35:24 +0000 2017,"News analysis: Time running out for #TheresaMay to resolve #Brexit impasse 
https://t.co/3rtuXd92tk https://t.co/9GnXBYktrC","['TheresaMay', 'Brexit']",en,STForeignDesk,1131352537,39108.0,100.0
208,911052648836685824,Fri Sep 22 02:20:52 +0000 2017,RT @JaneMarquardt: Trump Administration Rejects Study Showing Positive Impact of Refugees https://t.co/WIOWa3HwWY #RefugeesWelcome,['RefugeesWelcome'],en,JohnAllon,122459612,557,956,910098520639602688,Tue Sep 19 11:09:30 +0000 2017,Trump Administration Rejects Study Showing Positive Impact of Refugees https://t.co/WIOWa3HwWY #RefugeesWelcome,['RefugeesWelcome'],en,JaneMarquardt,250851427,453.0,684.0
209,911052653077188616,Fri Sep 22 02:20:53 +0000 2017,RT @DrScotRef: Thinking back to how the British Nationalist parties said they won #Indyref on the doorsteps. #Scotref https://t.co/qGjQ6QrM…,"['Indyref', 'Scotref']",en,IndyRefBot,2214003986,304,0,911034392696455170,Fri Sep 22 01:08:20 +0000 2017,Thinking back to how the British Nationalist parties said they won #Indyref on the doorsteps. #Scotref https://t.co/qGjQ6QrMw8,"['Indyref', 'Scotref']",en,DrScotRef,23464437,232.0,254.0
