,0,id_str,screen_name,0,english,universal,0,content,friend,network,sentiment,temporal,user
0,,,,,,,,,,,,,
1,,465260710,JosefLangmayer,,0.3,0.1,,0.39,0.1,0.11,0.24,0.1,0.07
2,,492234767,AliGoRitmik,,0.33,0.35,,0.425,0.35,0.5,0.55,0.36,0.14
3,,22362552,EUEnvironment,,0.44,0.52,,0.47,0.35,0.43,0.28,0.31,0.48
4,,839196857637142528,Ollie__Harrison,,0.2,0.07,,0.48,0.06,0.2,0.23,0.26,0.19
5,,468487089,BlakeKM,,0.38,0.3,,0.39,0.38,0.33,0.43,0.12,0.25
6,,27839828,MikkiL,,0.38,0.35,,0.39,0.22,0.36,0.37,0.28,0.4
7,,601076863,lybr3,,0.34,0.34,,0.39,0.29,0.17,0.32,0.24,0.54
8,,520284655,Operatraveller,,0.3,0.13,,0.35,0.16,0.17,0.5,0.36,0.04
9,,301746818,Sloth_lad,,0.35,0.34,,0.43,0.23,0.2,0.28,0.35,0.1
10,,1193749242,ditmirbushati,,0.58,0.45,,0.5,0.4,0.45,0.35,0.44,0.4
11,,97639440,CrestNicholson,,0.49,0.46,,0.71,0.52,0.56,0.53,0.44,0.09
12,,2470048953,Socialism_suks,,0.38,0.32,,0.51,0.27,0.2,0.15,0.54,0.12
13,,131480288,Shot_fox,,0.15,0.12,,0.35,0.17,0.13,0.34,0.15,0.02
14,,45578720,dailypostwales,,0.56,0.44,,0.69,0.46,0.54,0.34,0.33,0.45
15,,2340405962,hugoengel4,,0.42,0.3,,0.543333333333,0.25,0.28,0.1,0.23,0.37
16,,2598711645,flat_eric01,,0.42,0.45,,0.57,0.48,0.49,0.48,0.3,0.3
17,,277986413,leg259,,0.32,0.28,,0.453333333333,0.15,0.34,0.05,0.24,0.17
18,,3711388632,pooch_clouston,,0.43,0.4,,0.62,0.63,0.53,0.66,0.57,0.3
19,,,,,,,,,,,,,
20,,2196100295,StephenBulled,,0.41,0.5,,0.32,0.5,0.3,0.19,0.24,0.74
21,,115181434,owabobby,,0.21,0.1,,0.31,0.27,0.19,0.26,0.03,0.05
22,,234516296,mparry1234,,0.19,0.09,,0.27,0.17,0.07,0.22,0.15,0.01
23,,,,,,,,,,,,,
24,,34663108,lauraxmay,,0.31,0.11,,0.37,0.13,0.3,0.47,0.18,0.2
25,,,,,,,,,,,,,
26,,19453808,makesmilk,,0.4,0.34,,0.38,0.37,0.3,0.33,0.16,0.19
27,,24516595,JolyonRubs,,0.33,0.22,,0.32,0.29,0.34,0.3,0.17,0.31
28,,7363572,ian262,,0.21,0.15,,0.2,0.1,0.13,0.34,0.12,0.07
29,,296960157,JackKennyDrums,,0.17,0.07,,0.41,0.07,0.15,0.36,0.27,0.01
30,,55218051,LeftFootFwd,,0.43,0.34,,0.6,0.39,0.41,0.39,0.27,0.4
31,,168828976,Claire_Phipps,,0.44,0.38,,0.28,0.47,0.24,0.24,0.17,0.14
32,,31150274,louiswh,,0.25,0.19,,0.31,0.19,0.2,0.24,0.29,0.23
33,,29169821,paulasherriff,,0.32,0.31,,0.54,0.38,0.4,0.22,0.19,0.53
34,,1481849515,aCupOfLee,,0.37,0.22,,0.32,0.37,0.08,0.46,0.26,0.11
35,,135762048,SBT_Design,,0.44,0.45,,0.24,0.26,0.15,0.38,0.05,0.5
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,,1604088206,RantyHighwayman,,0.32,0.24,,0.33,0.24,0.21,0.34,0.26,0.3
39,,180040509,MJAinsw,,0.09,0.05,,0.15,0.27,0.09,0.34,0.24,0.04
40,,282695161,WayneDupreeShow,,0.38,0.46,,0.29,0.24,0.48,0.13,0.14,0.58
41,,1650547956,JoshUJWorld,,0.52,0.43,,0.39,0.24,0.22,0.25,0.3,0.73
42,,227098809,kathrynmcole,,0.2,0.15,,0.26,0.15,0.13,0.15,0.07,0.06
43,,19444248,workessence,,0.3,0.24,,0.4,0.34,0.23,0.25,0.14,0.11
44,,3389073989,PatriotByGod,,0.55,0.57,,0.41,0.5,0.35,0.16,0.21,0.69
45,,1956926966,VanCunera,,0.41,0.28,,0.61,0.29,0.37,0.37,0.09,0.32
46,,,,,,,,,,,,,
47,,1469851388,LaurenceAnholt,,0.5,0.32,,0.55,0.41,0.44,0.45,0.54,0.18
48,,3251776439,manfredi_vesco3,,0.49,0.59,,0.35,0.49,0.5,0.35,0.38,0.42
49,,17296202,Mister_Snoops,,0.22,0.21,,0.27,0.37,0.08,0.39,0.67,0.13
50,,53623039,xBlondeAssassin,,0.56,0.46,,0.48,0.793147133651,0.41,0.75,0.82,0.37
51,,83711992,cheekylatte,,0.41,0.27,,0.49,0.29,0.37,0.32,0.19,0.23
52,,447905632,_katie_low,,0.28,0.23,,0.36,0.32,0.13,0.44,0.11,0.11
53,,,,,,,,,,,,,
54,,87136959,AmbushPredator,,0.21,0.19,,0.31,0.08,0.09,0.25,0.06,0.03
55,,2162963455,Confuzzledom,,0.25,0.28,,0.25,0.25,0.03,0.26,0.22,0.15
56,,723210204582666240,hatmitnixzutun,,0.47,0.45,,0.463333333333,0.47,0.33,0.15,0.21,0.15
57,,290172750,DrEdWild,,0.41,0.18,,0.35,0.28,0.26,0.25,0.31,0.13
58,,107200763,SteWilde,,0.25,0.16,,0.2,0.18,0.2,0.32,0.37,0.24
59,,251525720,ohchrisburton,,0.35,0.12,,0.27,0.24,0.19,0.06,0.1,0.21
60,,,,,,,,,,,,,
61,,124270074,angelaeagle,,0.29,0.31,,0.32,0.39,0.27,0.13,0.28,0.18
62,,1598110730,Cheese_team,,0.5,0.35,,0.51,0.38,0.52,0.58,0.56,0.29
63,,14442358,st_eppel,,0.2,0.14,,0.27,0.23,0.15,0.3,0.06,0.03
64,,,,,,,,,,,,,
65,,391949423,wildsweethes,,0.38,0.13,,0.3,0.16,0.14,0.25,0.22,0.15
66,,3439738698,alexmoore878,,0.39,0.2,,0.52,0.25,0.7,0.57,0.48,0.14
67,,102223854,omnologos,,0.41,0.31,,0.38,0.32,0.2,0.55,0.44,0.03
68,,596392861,RTrushechkin,,0.39,0.34,,0.54,0.26,0.43,0.03,0.45,0.4
69,,21587082,10thAmendment,,0.45,0.49,,0.42,0.43,0.55,0.27,0.35,0.68
70,,240673572,CornwallTory,,0.44,0.4,,0.57,0.46,0.56,0.45,0.18,0.2
71,,28945259,Talking_Monkeys,,0.19,0.11,,0.26,0.24,0.27,0.14,0.31,0.08
72,,,,,,,,,,,,,
73,,303174732,TrentCollege,,0.47,0.49,,0.39,0.54,0.37,0.49,0.48,0.28
74,,1111414291,_Oliver_James_,,0.41,0.23,,0.53,0.24,0.34,0.62,0.44,0.11
75,,2472462161,PetrafromMunich,,0.34,0.19,,0.38,0.26,0.16,0.12,0.28,0.18
76,,228064442,AntoniaLThomas,,0.5,0.45,,0.58,0.26,0.23,0.37,0.38,0.39
77,,371313804,CraigBennett3,,0.32,0.24,,0.46,0.33,0.41,0.2,0.3,0.35
78,,72269212,LloydDanielsUK,,0.36,0.35,,0.31,0.12,0.21,0.15,0.29,0.29
79,,107231772,willtube4food,,0.25,0.15,,0.31,0.25,0.27,0.11,0.14,0.06
80,,303216240,OwainConnors,,0.25,0.17,,0.23,0.18,0.08,0.14,0.12,0.06
81,,142673778,APontecorvo,,0.3,0.52,,0.53,0.5,0.46,0.15,0.34,0.3
82,,345401648,Jack_Slater,,0.29,0.29,,0.28,0.26,0.15,0.26,0.27,0.17
83,,738012674299158528,openterracing,,0.42,0.38,,0.17,0.53,0.33,0.19,0.21,0.42
84,,394986531,PhilippeAuclair,,0.4,0.16,,0.51,0.18,0.13,0.28,0.11,0.18
85,,20159596,juliamacfarlane,,0.36,0.29,,0.3,0.31,0.21,0.14,0.22,0.28
86,,1225696320,George_Osborne,,0.47,0.3,,0.67,0.4,0.32,0.32,0.19,0.18
87,,4113935735,AlanWil50959826,,0.29,0.31,,0.31,0.35,0.21,0.34,0.1,0.21
88,,20862545,chrisfearne,,0.53,0.47,,0.5,0.37,0.4,0.39,0.31,0.25
89,,533301352,retireenjoy,,0.36,0.39,,0.5,0.36,0.49,0.22,0.35,0.15
90,,220795122,digsb,,0.26,0.07,,0.32,0.09,0.1,0.14,0.16,0.01
91,,2736507689,ch25knight,,0.34,0.24,,0.27,0.31,0.11,0.17,0.24,0.06
92,,52053989,SidneyGennies,,0.42,0.26,,0.43,0.26,0.16,0.18,0.13,0.18
93,,857667330,martinjefferies,,0.23,0.08,,0.32,0.14,0.11,0.23,0.07,0.05
94,,52404597,juancanavarro,,0.32,0.38,,0.46,0.4,0.48,0.13,0.09,0.32
95,,89286769,Moggie78,,0.21,0.21,,0.29,0.31,0.17,0.34,0.14,0.09
96,,295777668,daiderbyshire,,0.23,0.16,,0.42,0.15,0.25,0.2,0.26,0.01
97,,183369951,SteffRog,,0.22,0.14,,0.38,0.19,0.21,0.12,0.06,0.03
98,,3169050840,MKGuide,,0.56,0.61,,0.41,0.31,0.35,0.59,0.37,0.56
99,,856010760,guyverhofstadt,,0.55,0.41,,0.5,0.46,0.47,0.36,0.28,0.3
100,,719461770549727232,True_Story_AA,,0.38,0.39,,0.52,0.32,0.41,0.41,0.33,0.28
101,,,,,,,,,,,,,
102,,,,,,,,,,,,,
103,,2919203717,CatiaMontagna,,0.28,0.3,,0.29,0.27,0.12,0.23,0.21,0.28
104,,31734071,karlaadam,,0.31,0.24,,0.43,0.47,0.19,0.34,0.21,0.21
105,,,,,,,,,,,,,
106,,,,,,,,,,,,,
107,,339697820,AlastairMorgan,,0.57,0.53,,0.38,0.47,0.36,0.37,0.31,0.63
108,,2466792789,lesterbroom48,,0.45,0.35,,0.42,0.47,0.2,0.27,0.23,0.37
109,,,,,,,,,,,,,
110,,3197732499,cameronettes,,0.29,0.31,,0.23,0.29,0.19,0.2,0.32,0.19
111,,20595295,gmchamber,,0.46,0.46,,0.55,0.47,0.45,0.535,0.13,0.65
112,,50287361,PwC_France,,0.36,0.48,,0.37,0.62,0.44,0.12,0.25,0.21
113,,14491411,HSJnews,,0.61,0.47,,0.44,0.59,0.34,0.37,0.11,0.38
114,,2918045255,team_greenhalgh,,0.37,0.35,,0.42,0.18,0.31,0.44,0.28,0.23
115,,21353354,obento_box,,0.23,0.3,,0.15,0.31,0.32,0.33,0.32,0.1
116,,282200205,Chanctonman,,0.29,0.18,,0.29,0.24,0.22,0.4,0.12,0.16
117,,2171093015,Simon_C_Moore,,0.22,0.33,,0.35,0.31,0.32,0.23,0.31,0.18
118,,606325697,EU_Health,,0.46,0.5,,0.51,0.39,0.46,0.49,0.23,0.41
119,,,,,,,,,,,,,
120,,223301740,YusufMoosajee,,0.47,0.35,,0.63,0.54,0.62,0.35,0.11,0.36
121,,,,,,,,,,,,,
122,,303965759,Lorna_Owens25,,0.17,0.19,,0.38,0.26,0.15,0.19,0.22,0.01
123,,270948594,thereaLiamSmith,,0.26,0.25,,0.33,0.21,0.2,0.13,0.27,0.1
124,,89431845,MicheleRivasi,,0.37,0.43,,0.47,0.37,0.49,0.12,0.13,0.47
125,,276112778,FrkGuiot,,0.47,0.3,,0.553333333333,0.24,0.37,0.06,0.28,0.32
126,,128220786,kelvin_fletcher,,0.48,0.38,,0.37,0.25,0.31,0.39,0.26,0.33
127,,,,,,,,,,,,,
128,,415808169,Kylashoo,,0.28,0.18,,0.46,0.18,0.29,0.29,0.34,0.34
129,,390032291,luisloureiro4,,0.43,0.31,,0.64,0.25,0.45,0.2,0.44,0.09
130,,21632072,KieranStrange,,0.41,0.45,,0.22,0.24,0.21,0.25,0.29,0.44
131,,1239752197,econromesh,,0.41,0.29,,0.53,0.41,0.5,0.41,0.27,0.32
132,,18644987,cakesthebrain,,0.28,0.25,,0.15,0.38,0.06,0.04,0.26,0.17
133,,612505092,SamVimes6,,0.27,0.22,,0.26,0.23,0.3,0.35,0.36,0.17
134,,391692889,DarrenMole,,0.52,0.47,,0.41,0.17,0.18,0.19,0.35,0.46
135,,20324400,EstatesGazette,,0.49,0.4,,0.51,0.5,0.43,0.37,0.27,0.4
136,,14281819,AndbankES,,0.29,0.33,,0.39,0.36,0.29,0.16,0.1,0.3
137,,523085134,2tweetaboutit,,0.45,0.49,,0.45,0.26,0.34,0.34,0.38,0.58
138,,4249009576,mitredesign,,0.51,0.42,,0.8,0.67,0.49,0.8,0.4,0.4
139,,562144007,PatrickJenkins9,,0.3,0.23,,0.4,0.23,0.11,0.34,0.15,0.05
140,,,,,,,,,,,,,
141,,18047862,faznet,,0.35,0.38,,0.47,0.4,0.44,0.32,0.29,0.41
142,,1901355104,clarriegrundy,,0.23,0.2,,0.44,0.19,0.08,0.07,0.06,0.07
143,,24069453,HumzaYousaf,,0.3,0.23,,0.37,0.12,0.41,0.6,0.32,0.28
