,0,id_str,screen_name,0,english,universal,0,content,friend,network,sentiment,temporal,user
0,,544079032,RaquelEcenarro,,0.39,0.4,,0.36,0.36,0.14,0.18,0.2,0.13
1,,20063520,LouiseTollick,,0.37,0.28,,0.32,0.33,0.33,0.17,0.14,0.18
2,,,,,,,,,,,,,
3,,53039423,sir_cornflake,,0.31,0.17,,0.48,0.15,0.27,0.1,0.27,0.04
4,,1040885508,Anatoli1813,,0.22,0.14,,0.37,0.18,0.12,0.12,0.03,0.09
5,,,,,,,,,,,,,
6,,18643437,PrisonPlanet,,0.55,0.38,,0.19,0.58,0.3,0.27,0.19,0.39
7,,20362041,JamesJWalsh,,0.28,0.28,,0.42,0.34,0.23,0.26,0.19,0.08
8,,198769020,Scottweatherly,,0.23,0.21,,0.42,0.51,0.51,0.51,0.43,0.03
9,,490126636,NicolasSarkozy,,0.62,0.7,,0.44,0.55,0.52,0.13,0.56,0.72
10,,25401359,NTelevisa_com,,0.4,0.44,,0.41,0.55,0.55,0.09,0.2,0.16
11,,4912226817,SJ_Powell,,0.42,0.31,,0.38,0.21,0.41,0.25,0.25,0.46
12,,15073141,thejamesdixon,,0.17,0.06,,0.3,0.19,0.12,0.17,0.15,0.06
13,,2167525794,Third_Position,,0.54,0.32,,0.29,0.42,0.4,0.23,0.16,0.39
14,,,,,,,,,,,,,
15,,229441348,HistoryNeedsYou,,0.49,0.38,,0.63,0.41,0.57,0.79,0.59,0.4
16,,325461522,millarmind,,0.43,0.27,,0.35,0.27,0.34,0.12,0.44,0.29
17,,2825042663,Mawercallum,,0.21,0.19,,0.34,0.34,0.22,0.35,0.27,0.27
18,,2269619268,DavidRomeiPHD,,0.43,0.53,,0.36,0.43,0.45,0.22,0.28,0.62
19,,297644071,WayneVenuto,,0.57,0.57,,0.37,0.36,0.71,0.38,0.14,0.42
20,,2435809275,NiccoloZancan,,0.29,0.31,,0.383333333333,0.17,0.32,0.11,0.13,0.34
21,,4818358553,ConservativesIN,,0.53,0.51,,0.47,0.34,0.21,0.41,0.35,0.54
22,,5120691,wef,,0.56,0.45,,0.65,0.64,0.69,0.7,0.46,0.42
23,,1271852322,Limportant_fr,,0.45,0.38,,0.65,0.46,0.49,0.63,0.49,0.39
24,,555370896,RedHotSquirrel,,0.56,0.59,,0.34,0.51,0.39,0.32,0.14,0.39
25,,100289142,HansvanderKolk,,0.25,0.16,,0.465,0.2,0.18,0.07,0.14,0.21
26,,15529670,TheGreenParty,,0.58,0.47,,0.48,0.39,0.45,0.32,0.1,0.59
27,,581185897,kevwodonnell,,0.19,0.17,,0.17,0.26,0.1,0.07,0.18,0.05
28,,720349388959322112,SpookPatrols,,0.44,0.46,,0.27,0.36,0.22,0.13,0.19,0.48
29,,573666420,MargaretButer,,0.39,0.33,,0.43,0.31,0.48,0.36,0.26,0.28
30,,2330998107,Carlfletcher15,,0.41,0.33,,0.46,0.31,0.37,0.27,0.26,0.16
31,,261711452,dr_shibley,,0.35,0.32,,0.37,0.25,0.25,0.21,0.33,0.4
32,,22201609,Odbe34,,0.27,0.22,,0.43,0.26,0.35,0.26,0.14,0.22
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,770234304756609024,acalregion,,0.73,0.46,,0.89,0.793147133651,0.840246053348,0.72,0.87,0.44
36,,256495314,firstpost,,0.5,0.43,,0.46,0.45,0.48,0.54,0.34,0.23
37,,731204820,LucyAVFC_,,0.17,0.09,,0.29,0.13,0.03,0.14,0.06,0.05
38,,18167178,laprovence,,0.38,0.46,,0.44,0.38,0.56,0.16,0.33,0.4
39,,,,,,,,,,,,,
40,,351405195,AngryBulldog,,0.28,0.18,,0.29,0.17,0.17,0.24,0.1,0.26
41,,116640323,connorratliff,,0.29,0.41,,0.41,0.43,0.23,0.28,0.35,0.2
42,,3818989217,GrantStanleyUK,,0.39,0.21,,0.31,0.18,0.21,0.37,0.2,0.18
43,,2455272308,ChrisWynThom,,0.32,0.27,,0.4,0.35,0.6,0.59,0.62,0.25
44,,14641156,simonbarrow,,0.33,0.32,,0.51,0.17,0.42,0.26,0.24,0.45
45,,200659061,UPR_Asselineau,,0.5,0.47,,0.53,0.46,0.48,0.13,0.33,0.49
46,,728181080789032960,LeeCurtis_,,0.43,0.37,,0.62,0.22,0.296666666667,0.83,0.72,0.37
47,,2751990444,stivbator1,,0.15,0.17,,0.31,0.27,0.1,0.15,0.23,0.11
48,,700776474068930560,Indians4Britain,,0.26,0.25,,0.24,0.22,0.22,0.2,0.31,0.14
49,,48425371,jago_pearson,,0.2,0.22,,0.33,0.15,0.16,0.18,0.13,0.1
50,,132129520,mainstandred,,0.23,0.18,,0.4,0.25,0.31,0.21,0.27,0.06
51,,507151928,MGordziewicz,,0.32,0.12,,0.35,0.22,0.09,0.18,0.14,0.06
52,,2290537827,DominicMc999,,0.42,0.23,,0.31,0.24,0.31,0.19,0.31,0.29
53,,4524374967,DelHedges,,0.45,0.37,,0.38,0.24,0.46,0.23,0.26,0.11
54,,15251613,Popjustice,,0.4,0.29,,0.37,0.35,0.25,0.27,0.33,0.26
55,,2383233337,LeeUpcraft,,0.25,0.26,,0.41,0.25,0.12,0.24,0.3,0.12
56,,,,,,,,,,,,,
57,,3118257563,HowShouldWeVote,,0.32,0.34,,0.39,0.19,0.41,0.3,0.37,0.32
58,,1248977552,ExpressGilo,,0.32,0.18,,0.57,0.3,0.18,0.38,0.09,0.16
59,,408750427,apgalat,,0.37,0.25,,0.39,0.22,0.08,0.07,0.08,0.33
60,,469485578,obritom,,0.2,0.12,,0.24,0.15,0.07,0.12,0.23,0.03
61,,19284221,News247gr,,0.38,0.32,,0.42,0.59,0.4,0.12,0.19,0.27
62,,260632904,ajcdeane,,0.38,0.28,,0.29,0.18,0.25,0.23,0.14,0.3
63,,117207434,JASEMARKRUTTER,,0.36,0.37,,0.44,0.27,0.38,0.46,0.15,0.38
64,,2375792442,Smittyshs,,0.41,0.41,,0.3,0.43,0.28,0.32,0.13,0.42
65,,732779802902548481,JeffWot1976,,0.34,0.4,,0.51,0.29,0.36,0.33,0.34,0.42
66,,19530289,PennyRed,,0.4,0.27,,0.44,0.23,0.32,0.13,0.15,0.33
67,,,,,,,,,,,,,
68,,90798479,NumoQuest,,0.39,0.23,,0.38,0.3,0.33,0.45,0.72,0.13
69,,3174036887,EUAreKidding,,0.35,0.29,,0.31,0.27,0.34,0.37,0.38,0.37
70,,2691717164,oldsfenceguy,,0.32,0.27,,0.48,0.29,0.48,0.52,0.54,0.21
71,,282670421,joancondijts,,0.41,0.38,,0.55,0.33,0.39,0.33,0.24,0.43
72,,4693188050,Gigprobs,,0.47,0.45,,0.22,0.55,0.7,0.3,0.55,0.56
73,,31363501,CoffeeKev,,0.12,0.12,,0.37,0.28,0.29,0.13,0.15,0.14
74,,39720664,NeilHarding,,0.31,0.21,,0.44,0.14,0.13,0.28,0.12,0.02
75,,563443401,FreeFromEURule,,0.32,0.25,,0.26,0.24,0.29,0.33,0.23,0.15
76,,618419310,Sandra_Stork,,0.35,0.25,,0.44,0.29,0.29,0.15,0.21,0.1
77,,54596810,JeanHaines,,0.44,0.44,,0.27,0.23,0.14,0.33,0.21,0.53
78,,876541483,AlbertoBagnai,,0.32,0.17,,0.49,0.17,0.14,0.04,0.11,0.33
79,,447923336,jane_webber,,0.35,0.27,,0.41,0.39,0.31,0.35,0.32,0.3
80,,745644709142532096,Myholidaysick,,0.43,0.39,,0.73,0.44,0.73,0.59,0.45,0.3
81,,135575282,morningmoneyben,,0.35,0.32,,0.18,0.44,0.26,0.1,0.4,0.41
82,,832309426182901760,CNNMex,,0.49,0.53,,0.55,0.75,0.51,0.64,0.56,0.53
83,,41664785,jonathanwebber,,0.15,0.1,,0.27,0.15,0.09,0.2,0.3,0.04
84,,718469005447716864,weareeuropeuk,,0.38,0.35,,0.29,0.38,0.57,0.49,0.27,0.46
85,,4920711940,OutandProudUK,,0.38,0.43,,0.17,0.26,0.2,0.12,0.38,0.48
86,,848058758,RachelCline9,,0.29,0.28,,0.49,0.28,0.49,0.3,0.27,0.37
87,,3413559281,Y_Eurosceptics,,0.38,0.33,,0.36,0.32,0.26,0.25,0.21,0.53
88,,2683324987,PayAttnLibs,,0.3,0.23,,0.16,0.33,0.2,0.28,0.21,0.25
89,,59240990,MrTopple,,0.29,0.21,,0.45,0.16,0.21,0.23,0.05,0.34
90,,130109576,SunPolitics,,0.47,0.35,,0.65,0.54,0.56,0.56,0.22,0.13
91,,22314440,MoAnsar,,0.25,0.24,,0.42,0.26,0.19,0.16,0.36,0.22
92,,387835596,AinslieBen,,0.49,0.42,,0.55,0.48,0.33,0.66,0.48,0.29
93,,,,,,,,,,,,,
94,,20341657,robmcd85,,0.37,0.52,,0.41,0.29,0.22,0.1,0.37,0.54
95,,,,,,,,,,,,,
96,,721402925113810944,KentConsIN,,0.35,0.35,,0.43,0.36,0.37,0.25,0.5,0.4
97,,8330472,324cat,,0.31,0.27,,0.52,0.39,0.39,0.16,0.35,0.3
98,,45082540,OjciecRedaktor,,0.28,0.19,,0.373333333333,0.19,0.11,0.33,0.14,0.24
99,,22490498,HanRB,,0.43,0.48,,0.48,0.34,0.46,0.3,0.54,0.22
100,,71116364,theonlywayisup,,0.31,0.23,,0.23,0.24,0.27,0.25,0.12,0.06
101,,103879974,Geoffrey_Cox,,0.48,0.51,,0.39,0.35,0.33,0.26,0.26,0.27
102,,14883354,racheljoyce,,0.27,0.26,,0.33,0.2,0.36,0.28,0.19,0.16
103,,32241558,russelltovey,,0.51,0.44,,0.41,0.3,0.54,0.2,0.46,0.22
104,,2660542681,Hapoel4,,0.39,0.33,,0.32,0.18,0.27,0.25,0.19,0.39
105,,1186806638,paolog18,,0.31,0.18,,0.34,0.28,0.23,0.18,0.28,0.05
106,,3039056355,undilutedpoison,,0.29,0.25,,0.24,0.17,0.21,0.43,0.07,0.17
107,,19372266,jackieschneider,,0.16,0.24,,0.26,0.32,0.23,0.27,0.08,0.31
108,,397202888,MonikaSulkowska,,0.16,0.08,,0.41,0.05,0.09,0.22,0.21,0.03
109,,5895432,hugh_waters,,0.17,0.2,,0.26,0.29,0.38,0.16,0.12,0.11
110,,170762012,yearsandyears,,0.42,0.22,,0.38,0.24,0.28,0.16,0.44,0.28
111,,202609429,gmaujean,,0.36,0.22,,0.61,0.23,0.24,0.04,0.42,0.2
112,,247912274,PeterMurrell,,0.49,0.43,,0.53,0.28,0.48,0.32,0.21,0.43
113,,1524784111,GKriezotis,,0.33,0.13,,0.39,0.23,0.06,0.31,0.13,0.1
114,,47454187,rko1204,,0.25,0.09,,0.443333333333,0.1,0.08,0.18,0.15,0.11
115,,248741839,MrTimDunn,,0.31,0.2,,0.31,0.17,0.33,0.27,0.26,0.35
116,,49559086,WSJJapan,,0.29,0.34,,0.44,0.38,0.66,0.361346662576,0.4,0.3
117,,14911418,gazza_d,,0.22,0.12,,0.39,0.14,0.14,0.22,0.23,0.15
118,,1560664110,i24NEWS_FR,,0.33,0.39,,0.44,0.62,0.7,0.5,0.36,0.38
119,,,,,,,,,,,,,
120,,534079059,Motorscribe,,0.17,0.13,,0.45,0.17,0.17,0.22,0.36,0.04
121,,,,,,,,,,,,,
122,,2751594014,TonysAngle,,0.34,0.45,,0.36,0.32,0.36,0.26,0.41,0.37
123,,19899606,DVATW,,0.36,0.3,,0.41,0.25,0.33,0.21,0.17,0.3
124,,49257069,GeorgeCredland,,0.25,0.3,,0.42,0.34,0.21,0.22,0.02,0.15
125,,107136186,htheoharis,,0.33,0.25,,0.43,0.15,0.54,0.21,0.26,0.3
126,,71280219,RichardWellings,,0.59,0.48,,0.61,0.48,0.2,0.23,0.23,0.43
127,,55186601,NST_Online,,0.45,0.28,,0.76,0.31,0.63,0.57,0.74,0.31
128,,,,,,,,,,,,,
129,,91440960,Fitzy_NFFC,,0.34,0.24,,0.29,0.22,0.11,0.28,0.4,0.14
