,0,id_str,screen_name,0,english,universal,0,content,friend,network,sentiment,temporal,user
0,,22130707,sullers45,,0.16,0.1,,0.23,0.2,0.37,0.33,0.13,0.14
1,,906248844576509952,HenryDavidson12,,0.900009018759,0.789786602043,,0.889350265747,0.793147133651,0.840246053348,0.361346662576,0.787951843463,0.783886357497
2,,2738379233,FNatunga,,0.35,0.3,,0.31,0.19,0.19,0.34,0.17,0.1
3,,143182628,collee1,,0.52,0.42,,0.47,0.53,0.3,0.65,0.42,0.29
4,,,,,,,,,,,,,
5,,73411127,iueuro,,0.25,0.21,,0.54,0.29,0.24,0.4,0.28,0.13
6,,19483244,jgoldsworthy,,0.33,0.28,,0.45,0.3,0.29,0.13,0.25,0.26
7,,68362177,eupberlin,,0.45,0.24,,0.638333333333,0.23,0.43,0.5,0.36,0.42
8,,,,,,,,,,,,,
9,,974956915,KatWalker85,,0.21,0.26,,0.14,0.33,0.13,0.17,0.48,0.25
10,,1437532362,toastmasters_rt,,0.45,0.37,,0.61,0.56,0.24,0.52,0.37,0.38
11,,243333419,MISSVITTAYA,,0.41,0.29,,0.49,0.13,0.46,0.26,0.59,0.33
12,,65199814,LooweezBx,,0.15,0.15,,0.28,0.18,0.11,0.15,0.1,0.07
13,,73624756,malatau,,0.27,0.2,,0.38,0.24,0.45,0.49,0.25,0.26
14,,245525887,Locky3,,0.05,0.03,,0.23,0.11,0.15,0.08,0.1,0.06
15,,100266342,juanangelher,,0.34,0.25,,0.533333333333,0.24,0.23,0.12,0.34,0.34
16,,51754329,livilolo,,0.2,0.15,,0.39,0.04,0.16,0.19,0.21,0.15
17,,1425679045,Alichat66,,0.18,0.14,,0.26,0.09,0.26,0.23,0.1,0.1
18,,56177907,jpnoblejr,,0.3,0.22,,0.46,0.15,0.23,0.24,0.41,0.1
19,,707623892676911105,Score4Ksdi,,0.54,0.55,,0.61,0.46,0.54,0.54,0.26,0.57
20,,789905641,baza_owens,,0.29,0.15,,0.43,0.28,0.35,0.35,0.4,0.28
21,,128703225,veryrachael,,0.29,0.22,,0.22,0.27,0.18,0.27,0.25,0.14
22,,4352654835,AnaAraceliAlva1,,0.46,0.32,,0.67,0.5,0.37,0.57,0.56,0.47
23,,1702593014,carryonkeith,,0.35,0.31,,0.31,0.36,0.16,0.28,0.27,0.33
24,,3224602785,two_adventurers,,0.63,0.78,,0.7,0.69,0.67,0.57,0.55,0.653333333333
25,,2166470980,ideasydudas,,0.27,0.17,,0.39,0.09,0.13,0.21,0.13,0.08
26,,,,,,,,,,,,,
27,,19644592,campbellclaret,,0.53,0.48,,0.28,0.34,0.27,0.25,0.16,0.64
28,,,,,,,,,,,,,
29,,4103561236,WatfordLover,,0.55,0.63,,0.73,0.47,0.46,0.69,0.66,0.85
30,,,,,,,,,,,,,
31,,92823251,Malc1966,,0.39,0.31,,0.38,0.27,0.37,0.46,0.15,0.12
32,,4141747277,Crap_GWR,,0.4,0.34,,0.35,0.27,0.48,0.37,0.22,0.17
33,,,,,,,,,,,,,
34,,2303897530,fitz_micky,,0.19,0.21,,0.35,0.09,0.35,0.17,0.21,0.14
35,,372273460,myrtamerlino,,0.27,0.26,,0.37,0.17,0.38,0.19,0.23,0.24
36,,4893047128,harvey_orme,,0.24,0.22,,0.54,0.11,0.25,0.67,0.6,0.33
37,,,,,,,,,,,,,
38,,613237533,mona_j1899,,0.29,0.1,,0.53,0.19,0.15,0.27,0.08,0.0
39,,423712738,JuanfraHueso,,0.47,0.41,,0.63,0.51,0.44,0.37,0.35,0.3
40,,887457428,AndrewTeilo,,0.31,0.28,,0.34,0.15,0.24,0.28,0.38,0.19
41,,2820405592,NomertaK,,0.49,0.41,,0.64,0.5,0.42,0.59,0.51,0.27
42,,20044326,Yukett,,0.34,0.29,,0.41,0.35,0.48,0.344,0.22,0.07
43,,3365627297,SamPlum4,,0.3,0.21,,0.37,0.46,0.15,0.37,0.21,0.06
44,,64533025,Korneel_Evers,,0.32,0.12,,0.38,0.15,0.16,0.03,0.11,0.09
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,,2276592039,JESSlCUGH,,0.24,0.15,,0.39,0.23,0.16,0.18,0.09,0.07
49,,2543525694,emmavh_,,0.14,0.15,,0.22,0.12,0.1,0.09,0.1,0.02
50,,346660358,AlexiaRFishwick,,0.28,0.26,,0.39,0.3,0.24,0.37,0.19,0.05
51,,153511181,ambernicolebaxt,,0.23,0.07,,0.22,0.07,0.13,0.15,0.09,0.05
52,,1055826967,oliviasmedley_,,0.22,0.11,,0.29,0.08,0.13,0.15,0.13,0.13
53,,355725915,GwionSamson,,0.12,0.12,,0.18,0.23,0.22,0.19,0.13,0.0
54,,30080608,northernmunki1,,0.14,0.21,,0.28,0.38,0.33,0.22,0.12,0.14
55,,871394814,davidtinney2,,0.41,0.32,,0.45,0.49,0.44,0.61,0.75,0.56
56,,335852606,Hels_bels27,,0.21,0.15,,0.38,0.31,0.17,0.26,0.28,0.03
