,0,id_str,screen_name,0,english,universal,0,content,friend,network,sentiment,temporal,user
0,,19858128,flaney,,0.19,0.15,,0.33,0.21,0.39,0.3,0.26,0.09
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,866668494,danielhordon,,0.13,0.08,,0.14,0.24,0.01,0.25,0.03,0.0
4,,20619326,TmStvns,,0.3,0.19,,0.21,0.16,0.03,0.13,0.31,0.03
5,,266176866,SjoerdWannet,,0.3,0.09,,0.57,0.09,0.12,0.09,0.26,0.03
6,,,,,,,,,,,,,
7,,238491945,PiyushNamra,,0.14,0.15,,0.4,0.17,0.09,0.59,0.16,0.02
8,,1558321128,Jaguar_Invest,,0.42,0.23,,0.59,0.19,0.39,0.54,0.28,0.56
9,,382234705,ALMaddox98,,0.28,0.19,,0.24,0.09,0.14,0.39,0.39,0.18
10,,,,,,,,,,,,,
11,,558090595,LouiseJones1403,,0.22,0.12,,0.12,0.34,0.21,0.36,0.17,0.02
12,,3290184707,wba_tommo97,,0.17,0.2,,0.23,0.16,0.12,0.24,0.1,0.0
13,,382429625,ElderlyGoose,,0.23,0.14,,0.38,0.2,0.16,0.09,0.13,0.05
14,,285128433,YasTruby,,0.04,0.02,,0.15,0.02,0.18,0.16,0.47,0.0
15,,,,,,,,,,,,,
16,,113550384,ainfhamid,,0.2,0.1,,0.41,0.21,0.13,0.14,0.24,0.07
17,,23545675,Betfair_Aus,,0.63,0.55,,0.67,0.48,0.4,0.49,0.59,0.43
18,,623202002,PLAYLIST24K,,0.69,0.51,,0.89,0.793147133651,0.46,0.88,0.93,0.4
19,,,,,,,,,,,,,
20,,2321425220,labjg,,0.36,0.37,,0.19,0.32,0.05,0.12,0.09,0.21
21,,,,,,,,,,,,,
22,,340220910,whducks,,0.19,0.08,,0.41,0.09,0.14,0.12,0.3,0.03
23,,24863515,gerry1957,,0.35,0.32,,0.46,0.2,0.33,0.2,0.19,0.32
24,,304943418,oceanwave11,,0.74,0.69,,0.66,0.49,0.67,0.6,0.3,0.49
25,,2193829069,JeanHatchet,,0.3,0.23,,0.26,0.15,0.22,0.24,0.32,0.23
26,,2340915637,ORachaelO,,0.3,0.27,,0.29,0.14,0.28,0.04,0.17,0.42
27,,57336374,cath1957,,0.4,0.24,,0.39,0.14,0.34,0.21,0.28,0.16
28,,2725777136,stellamariskent,,0.44,0.29,,0.593333333333,0.52,0.33,0.69,0.46,0.19
29,,20975688,hrtbps,,0.36,0.26,,0.24,0.35,0.26,0.19,0.25,0.26
30,,,,,,,,,,,,,
31,,97024982,VIIQuinnyIIV,,0.21,0.13,,0.19,0.23,0.07,0.17,0.14,0.1
32,,264184535,BADWOLF765,,0.26,0.12,,0.33,0.14,0.11,0.24,0.17,0.05
33,,242269206,dunph81,,0.19,0.14,,0.27,0.16,0.4,0.18,0.12,0.02
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,75283044,Holspols,,0.23,0.11,,0.28,0.15,0.15,0.42,0.46,0.15
37,,14577821,stockexchange,,0.59,0.48,,0.51,0.44,0.3,0.58,0.48,0.56
38,,85303232,mcfcpringle,,0.11,0.06,,0.38,0.06,0.03,0.09,0.14,0.2
39,,36022906,gregphil,,0.29,0.26,,0.36,0.27,0.27,0.12,0.16,0.13
40,,334035629,hatwearer2034,,0.28,0.21,,0.39,0.27,0.13,0.19,0.22,0.01
41,,124256397,swanseasound,,0.51,0.54,,0.65,0.36,0.25,0.35,0.25,0.31
42,,2540732608,RickGH2015,,0.26,0.23,,0.34,0.27,0.23,0.33,0.14,0.06
43,,20329672,wwwfoecouk,,0.48,0.53,,0.43,0.35,0.27,0.24,0.09,0.61
44,,17543957,ytnewswire,,0.54,0.42,,0.64,0.69,0.4,0.51,0.82,0.6
45,,1406019972,joescanlan4,,0.16,0.08,,0.34,0.05,0.37,0.37,0.39,0.07
46,,2832694608,estherswchan,,0.4,0.42,,0.39,0.47,0.22,0.41,0.1,0.41
47,,2815946693,MarketMaster007,,0.32,0.26,,0.39,0.22,0.42,0.37,0.21,0.41
48,,354803730,HarerTheDog,,0.36,0.36,,0.38,0.24,0.5,0.32,0.26,0.08
49,,21334833,LeeCurran,,0.28,0.29,,0.27,0.3,0.26,0.18,0.21,0.22
50,,312596011,michaellovell93,,0.12,0.03,,0.3,0.04,0.06,0.11,0.32,0.04
51,,,,,,,,,,,,,
52,,2912847930,Gwynoro,,0.38,0.45,,0.32,0.33,0.38,0.3,0.17,0.42
53,,224965117,martinidemar,,0.3,0.12,,0.42,0.1,0.11,0.1,0.15,0.17
54,,301510844,nougdalla98,,0.17,0.11,,0.11,0.31,0.1,0.19,0.1,0.01
55,,842877512392884224,alfgarnetttil,,0.54,0.46,,0.7,0.793147133651,0.79545363494,0.93,0.91,0.5
56,,299260935,AlexiaSaysSo,,0.32,0.22,,0.28,0.14,0.35,0.25,0.31,0.16
57,,337352364,martinwestron,,0.17,0.03,,0.3,0.12,0.12,0.12,0.22,0.04
58,,254548893,Vueltasdelamor,,0.23,0.24,,0.38,0.22,0.23,0.12,0.24,0.08
59,,408518806,ChorltonPkLab,,0.4,0.36,,0.39,0.22,0.33,0.47,0.59,0.32
60,,,,,,,,,,,,,
61,,22646514,NewstalkFM,,0.49,0.42,,0.57,0.49,0.34,0.35,0.3,0.19
62,,291577287,Vicki_Pearson,,0.43,0.3,,0.38,0.49,0.48,0.47,0.54,0.35
63,,596980554,SpeakinOut2,,0.55,0.45,,0.56,0.52,0.46,0.54,0.69,0.39
64,,1401494088,Thatgirl_Eloise,,0.33,0.18,,0.38,0.11,0.1,0.37,0.15,0.15
65,,,,,,,,,,,,,
66,,20444662,zabrams,,0.31,0.22,,0.35,0.32,0.43,0.4,0.66,0.18
67,,1059881101,MauroBeltramo,,0.28,0.32,,0.4,0.26,0.47,0.35,0.28,0.18
68,,,,,,,,,,,,,
69,,,,,,,,,,,,,
70,,,,,,,,,,,,,
71,,,,,,,,,,,,,
72,,,,,,,,,,,,,
73,,,,,,,,,,,,,
74,,,,,,,,,,,,,
75,,,,,,,,,,,,,
76,,,,,,,,,,,,,
77,,,,,,,,,,,,,
78,,,,,,,,,,,,,
