,0,id_str,screen_name,0,english,universal,0,content,friend,network,sentiment,temporal,user
0,,386102917,maketimecountuk,,0.35,0.21,,0.49,0.31,0.31,0.57,0.19,0.02
1,,19112410,SalaAbdin,,0.26,0.1,,0.41,0.24,0.21,0.32,0.05,0.18
2,,240267170,deeeeep_z,,0.26,0.12,,0.39,0.43,0.46,0.11,0.82,0.14
3,,702951403514236929,kentwilliam94,,0.51,0.28,,0.41,0.3,0.45,0.28,0.12,0.21
4,,1761951,louby,,0.34,0.22,,0.32,0.26,0.11,0.29,0.31,0.15
5,,3142006800,subbaraju883,,0.33,0.37,,0.26,0.25,0.33,0.41,0.1,0.18
6,,22861073,TalSz,,0.29,0.25,,0.29,0.26,0.21,0.31,0.05,0.14
7,,484708870,StevenJessop1,,0.38,0.27,,0.49,0.38,0.54,0.62,0.26,0.03
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,747085640,KeelBaillie,,0.33,0.38,,0.37,0.37,0.53,0.51,0.21,0.07
13,,63429664,WalsallAdv,,0.36,0.31,,0.49,0.37,0.17,0.08,0.24,0.25
14,,2455369129,whereismygarden,,0.23,0.24,,0.28,0.28,0.1,0.35,0.05,0.17
15,,,,,,,,,,,,,
16,,379647868,GarethLHall,,0.13,0.05,,0.26,0.32,0.06,0.23,0.15,0.06
17,,196977696,rareplants,,0.27,0.24,,0.38,0.3,0.02,0.31,0.34,0.13
18,,21740956,BazLion420,,0.23,0.09,,0.33,0.12,0.21,0.29,0.17,0.18
19,,132426192,j_edwards_photo,,0.25,0.23,,0.45,0.2,0.32,0.19,0.13,0.04
20,,,,,,,,,,,,,
21,,68152161,MrsRAllen,,0.26,0.22,,0.42,0.21,0.31,0.42,0.23,0.15
22,,3348039370,amyoungwrite,,0.26,0.23,,0.32,0.28,0.16,0.37,0.1,0.16
23,,,,,,,,,,,,,
24,,3394100057,HamburgRT,,0.38,0.33,,0.46,0.22,0.3,0.26,0.42,0.41
25,,1020010364,indifferent_kay,,0.37,0.3,,0.34,0.45,0.35,0.36,0.12,0.23
26,,38415581,CharlieMawer,,0.2,0.23,,0.3,0.32,0.12,0.18,0.25,0.13
27,,254533424,Gary_Puffett,,0.3,0.4,,0.41,0.36,0.14,0.44,0.17,0.12
28,,3067650213,KenyanHerald,,0.49,0.53,,0.39,0.45,0.36,0.38,0.29,0.62
29,,578190150,Jenno_Fulde,,0.19,0.24,,0.3,0.39,0.17,0.18,0.21,0.07
30,,244028716,ellieoneilll,,0.37,0.21,,0.25,0.2,0.2,0.31,0.18,0.18
31,,210974442,Idil_kamal,,0.29,0.4,,0.38,0.28,0.28,0.36,0.28,0.12
32,,417966191,beccajackson94,,0.21,0.14,,0.27,0.16,0.13,0.24,0.43,0.22
33,,89524489,DoItLikeLuke,,0.773333333333,0.248282361804,,0.89,0.793147133651,0.785371427089,0.88,0.787951843463,0.783886357497
34,,20310225,Phil1824,,0.3,0.24,,0.59,0.35,0.47,0.6,0.23,0.25
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,78136995,Austin_and_Co,,0.42,0.38,,0.43,0.39,0.56,0.62,0.47,0.09
38,,28189914,TVhomson,,0.23,0.17,,0.48,0.22,0.44,0.37,0.4,0.12
39,,165826696,P__TheLetter,,0.1,0.09,,0.3,0.09,0.21,0.56,0.26,0.02
40,,19344891,bet72,,0.23,0.12,,0.34,0.14,0.17,0.2,0.11,0.02
41,,30454402,andreas_lenz,,0.31,0.15,,0.44,0.26,0.21,0.33,0.16,0.09
42,,67883526,nikster007,,0.34,0.18,,0.34,0.26,0.05,0.15,0.09,0.09
43,,18882508,bnjmnc,,0.22,0.08,,0.51,0.12,0.27,0.22,0.33,0.16
44,,1652649920,oddsocket,,0.38,0.45,,0.51,0.29,0.57,0.31,0.16,0.17
45,,19234434,laurahd,,0.37,0.29,,0.47,0.33,0.15,0.28,0.1,0.2
46,,906809786,Swiss1D4ever,,0.47,0.43,,0.42,0.17,0.51,0.46,0.64,0.45
47,,144571239,compu73E,,0.19,0.2,,0.35,0.16,0.14,0.21,0.2,0.09
48,,,,,,,,,,,,,
49,,23123158,JulesBailey14,,0.28,0.21,,0.19,0.38,0.28,0.2,0.06,0.13
50,,310979668,SlapBatter,,0.26,0.12,,0.17,0.1,0.17,0.16,0.27,0.04
51,,416095845,JPartarrieu,,0.37,0.32,,0.53,0.2,0.41,0.26,0.04,0.24
52,,3739984881,pauvrordinateur,,0.34,0.34,,0.25,0.13,0.38,0.16,0.19,0.51
