,0,id_str,screen_name,0,english,universal,0,content,friend,network,sentiment,temporal,user
0,,,,,,,,,,,,,
1,,,,,,,,,,,,,
2,,331120067,williedrennan,,0.21,0.07,,0.24,0.11,0.19,0.24,0.26,0.04
3,,777262222858854400,memehowlter,,0.35,0.3,,0.59,0.34,0.33,0.69,0.32,0.37
4,,2672693038,RogueishGent,,0.44,0.24,,0.42,0.36,0.12,0.53,0.19,0.31
5,,2668853545,AAhmad75,,0.37,0.36,,0.33,0.29,0.24,0.55,0.05,0.25
6,,21028196,tommortonjarvis,,0.33,0.28,,0.52,0.3,0.53,0.52,0.23,0.15
7,,20668566,NATHANJAMESPAGE,,0.48,0.25,,0.46,0.48,0.31,0.31,0.42,0.17
8,,29559043,DJakovljevic,,0.49,0.37,,0.35,0.41,0.21,0.24,0.23,0.28
9,,102678002,Mccrimmons,,0.43,0.27,,0.5,0.24,0.25,0.28,0.28,0.31
10,,49357767,benhanlin,,0.67,0.65,,0.2,0.52,0.65,0.4,0.38,0.8
11,,2331802006,CasaLettori,,0.41,0.38,,0.37,0.29,0.43,0.22,0.35,0.58
12,,,,,,,,,,,,,
13,,41243,adliterate,,0.28,0.31,,0.23,0.27,0.18,0.21,0.3,0.1
14,,18898153,SavLocal,,0.26,0.22,,0.39,0.26,0.11,0.27,0.17,0.12
15,,23607137,stephen501,,0.34,0.21,,0.53,0.14,0.17,0.17,0.19,0.01
16,,77715537,zhukov43,,0.43,0.48,,0.34,0.24,0.31,0.13,0.14,0.24
17,,28830860,clangyandjammy,,0.2,0.06,,0.24,0.11,0.39,0.27,0.16,0.08
18,,119160524,Official_Ryan_M,,0.35,0.34,,0.26,0.24,0.21,0.21,0.21,0.31
19,,2423923260,HoghSorensen,,0.42,0.4,,0.45,0.16,0.35,0.29,0.14,0.12
20,,854660107,DanicaVihinen,,0.32,0.2,,0.37,0.21,0.29,0.35,0.26,0.11
21,,251643204,samburnejames,,0.28,0.2,,0.34,0.39,0.32,0.26,0.32,0.08
22,,,,,,,,,,,,,
23,,205195655,maxplanckpress,,0.49,0.47,,0.49,0.42,0.44,0.23,0.33,0.47
24,,363561760,WilfredFrost,,0.23,0.18,,0.2,0.2,0.11,0.22,0.21,0.12
25,,18159588,Oneindia,,0.51,0.42,,0.67,0.43,0.52,0.35,0.25,0.41
26,,49802967,rioghnachNiG,,0.27,0.19,,0.38,0.23,0.18,0.13,0.16,0.11
27,,577518898,a_hollingworthh,,0.08,0.07,,0.3,0.18,0.05,0.18,0.13,0.04
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,35091531,kpclements,,0.52,0.46,,0.55,0.54,0.47,0.47,0.28,0.24
31,,723054692444430336,BlueMountCap,,0.45,0.41,,0.51,0.55,0.47,0.28,0.51,0.23
32,,851126034,pauldelaney2012,,0.31,0.22,,0.45,0.14,0.29,0.31,0.42,0.21
33,,229441348,HistoryNeedsYou,,0.47,0.42,,0.64,0.35,0.43,0.73,0.51,0.29
34,,15932285,neilinglis,,0.3,0.21,,0.24,0.13,0.38,0.19,0.21,0.14
35,,81637419,lameduck1960,,0.2,0.14,,0.3,0.07,0.09,0.1,0.13,0.14
36,,15351074,Morgan_Jones,,0.23,0.13,,0.36,0.32,0.11,0.22,0.05,0.14
37,,212623869,konradweber,,0.39,0.27,,0.4715,0.22,0.12,0.12,0.21,0.2
38,,235509096,TSimonts,,0.36,0.26,,0.49,0.29,0.41,0.31,0.09,0.06
39,,107722321,BarryGardiner,,0.45,0.4,,0.46,0.37,0.35,0.09,0.12,0.56
40,,291314510,harrywest2,,0.34,0.28,,0.47,0.28,0.08,0.22,0.35,0.08
41,,,,,,,,,,,,,
42,,2953439033,ben_rowe4,,0.27,0.22,,0.45,0.27,0.13,0.19,0.43,0.05
43,,111013369,nickherbertmp,,0.43,0.43,,0.53,0.47,0.23,0.27,0.41,0.33
44,,14911418,gazza_d,,0.29,0.12,,0.38,0.23,0.1,0.13,0.17,0.14
45,,511773834,SOlechnowicz,,0.14,0.2,,0.34,0.27,0.48,0.11,0.36,0.06
46,,,,,,,,,,,,,
47,,319699570,EliseVDB1,,0.3,0.08,,0.51,0.24,0.17,0.15,0.18,0.12
48,,19586117,RyanJL,,0.3,0.2,,0.22,0.17,0.04,0.18,0.15,0.23
49,,239409512,hullodave,,0.24,0.19,,0.25,0.33,0.09,0.3,0.23,0.22
50,,256495314,firstpost,,0.4,0.41,,0.48,0.32,0.51,0.24,0.42,0.26
51,,116459535,alisonthewliss,,0.4,0.38,,0.44,0.35,0.34,0.29,0.18,0.51
52,,2766234873,johnroeltd,,0.34,0.4,,0.47,0.35,0.31,0.52,0.74,0.45
53,,1581380815,HeatonBobby,,0.35,0.33,,0.32,0.22,0.16,0.294,0.17,0.36
54,,496781790,katiehotdogs,,0.19,0.22,,0.39,0.2,0.15,0.26,0.33,0.04
55,,,,,,,,,,,,,
56,,3076712375,VillageCricket_,,0.52,0.53,,0.37,0.5,0.7,0.39,0.76,0.55
57,,370705837,ScowlingZombie,,0.33,0.47,,0.39,0.4,0.17,0.41,0.15,0.39
58,,31683284,Raya_AG,,0.29,0.24,,0.5,0.28,0.3,0.48,0.25,0.15
