,0,id_str,screen_name,0,english,universal,0,content,friend,network,sentiment,temporal,user
0,,,,,,,,,,,,,
1,,20985993,dianemievis,,0.39,0.44,,0.46,0.34,0.22,0.36,0.34,0.13
2,,16095047,racheleden,,0.39,0.24,,0.5,0.31,0.27,0.2,0.34,0.22
3,,118490583,HuwSayer,,0.42,0.33,,0.43,0.23,0.41,0.27,0.23,0.4
4,,607110862,SocialBusiness9,,0.43,0.43,,0.48,0.36,0.43,0.53,0.22,0.3
5,,67613844,charlie_whiting,,0.29,0.24,,0.27,0.26,0.25,0.26,0.12,0.32
6,,96998344,guidemark,,0.62,0.72,,0.37,0.5,0.44,0.2,0.36,0.67
7,,791956764,grace_hinton_,,0.22,0.16,,0.3,0.05,0.11,0.12,0.41,0.02
8,,178661646,honestlyAbroad,,0.37,0.36,,0.35,0.27,0.32,0.19,0.16,0.21
9,,270324608,SarahNibbs,,0.22,0.26,,0.31,0.41,0.54,0.38,0.27,0.01
10,,51735659,RehmanSid,,0.59,0.7,,0.35,0.45,0.37,0.18,0.39,0.55
11,,20945894,mattleys,,0.32,0.2,,0.33,0.1,0.12,0.26,0.23,0.21
12,,16581604,MikeBloomberg,,0.56,0.47,,0.52,0.41,0.32,0.45,0.16,0.46
13,,949235281,GarryPayne1,,0.29,0.19,,0.46,0.26,0.35,0.45,0.28,0.19
14,,235139983,cambsmeridian,,0.45,0.3,,0.5,0.16,0.28,0.29,0.17,0.1
15,,4195841962,GalaticAndi,,0.28,0.14,,0.31,0.34,0.25,0.18,0.14,0.05
16,,22900775,khaddon,,0.38,0.27,,0.24,0.26,0.49,0.27,0.13,0.41
17,,2913742355,ProfCCostello,,0.43,0.45,,0.3,0.38,0.18,0.24,0.58,0.51
18,,2894816368,RebuckLaw,,0.46,0.57,,0.44,0.31,0.37,0.49,0.12,0.74
19,,21719488,SDLPyouth,,0.44,0.45,,0.59,0.33,0.45,0.56,0.18,0.26
20,,1961043109,StansaidAirport,,0.59,0.43,,0.33,0.31,0.47,0.3,0.28,0.58
21,,58170015,Simongane,,0.28,0.17,,0.33,0.1,0.12,0.43,0.33,0.09
22,,2299759838,BarryD1965,,0.26,0.2,,0.24,0.18,0.19,0.18,0.25,0.16
23,,830402791692713984,PoppyScot,,0.833333333333,0.789786602043,,0.83,0.793147133651,0.840246053348,0.97,0.787951843463,0.783886357497
24,,3011256515,uk_rants,,0.3,0.27,,0.39,0.2,0.23,0.25,0.09,0.31
25,,20985003,womensaid,,0.49,0.3,,0.45,0.38,0.53,0.47,0.29,0.55
26,,734963540,Rosie_McNiff,,0.29,0.26,,0.37,0.29,0.29,0.47,0.14,0.14
27,,16040298,typofoto,,0.21,0.23,,0.12,0.24,0.29,0.18,0.18,0.18
28,,36152240,newcriterion,,0.45,0.3,,0.41,0.59,0.21,0.43,0.24,0.3
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,3023795645,LeeThatsMe123,,0.28,0.19,,0.22,0.2,0.2,0.23,0.6,0.08
32,,27533133,ollywainwright,,0.41,0.36,,0.47,0.31,0.25,0.05,0.28,0.2
33,,1926698492,macrocredit,,0.47,0.46,,0.4,0.35,0.46,0.41,0.08,0.54
34,,1347250338,RCorbettMEP,,0.47,0.4,,0.41,0.28,0.58,0.24,0.21,0.5
35,,95486249,Run_Dolly_Run,,0.27,0.16,,0.4,0.21,0.3,0.31,0.07,0.07
36,,19179185,ExpressenKultur,,0.4,0.3,,0.52,0.19,0.18,0.14,0.17,0.24
37,,,,,,,,,,,,,
38,,494459851,lewisdwane11,,0.06,0.09,,0.24,0.31,0.3,0.12,0.11,0.06
39,,,,,,,,,,,,,
40,,2747752279,asifonly1,,0.36,0.24,,0.45,0.25,0.29,0.17,0.05,0.17
41,,745165314,mvdweyer,,0.49,0.4,,0.68,0.61,0.62,0.57,0.28,0.19
42,,364150068,SimonCollins2,,0.23,0.15,,0.62,0.3,0.28,0.42,0.26,0.12
43,,,,,,,,,,,,,
44,,301930240,Edouard_T,,0.22,0.08,,0.423333333333,0.14,0.17,0.04,0.15,0.04
45,,27313315,ilovephotocall,,0.47,0.38,,0.69,0.45,0.37,0.62,0.46,0.24
46,,2693783096,jonesycartoons,,0.32,0.41,,0.42,0.24,0.54,0.45,0.31,0.24
47,,20543416,BBCNewsnight,,0.42,0.36,,0.61,0.35,0.36,0.35,0.23,0.44
48,,346438043,LJ_Skipper,,0.19,0.12,,0.28,0.26,0.15,0.18,0.1,0.07
49,,27460042,mevbrown,,0.51,0.37,,0.34,0.15,0.45,0.23,0.33,0.48
50,,161318053,BT_India,,0.48,0.42,,0.65,0.28,0.57,0.25,0.2,0.17
51,,19900281,JamesEsbester,,0.34,0.31,,0.32,0.15,0.36,0.36,0.21,0.31
52,,20239972,ChesterChron,,0.56,0.41,,0.65,0.51,0.32,0.18,0.2,0.41
53,,39879120,SaraEisen,,0.29,0.19,,0.5,0.35,0.3,0.25,0.32,0.28
54,,15242565,Perryguitar666,,0.34,0.3,,0.3,0.2,0.1,0.29,0.12,0.23
55,,19066115,adamrh,,0.3,0.24,,0.29,0.22,0.18,0.1,0.06,0.19
56,,12465962,LiberalMorgan,,0.2,0.18,,0.31,0.13,0.15,0.27,0.32,0.19
57,,14551884,joeallam,,0.34,0.34,,0.41,0.42,0.13,0.37,0.4,0.09
58,,234113605,rorymeakin,,0.24,0.17,,0.44,0.19,0.36,0.27,0.08,0.07
