,0,id_str,screen_name,0,english,universal,0,content,friend,network,sentiment,temporal,user
0,,3295324652,DrAnnaMack,,0.2,0.24,,0.38,0.17,0.12,0.14,0.17,0.11
1,,202609429,gmaujean,,0.35,0.24,,0.61,0.26,0.22,0.05,0.43,0.23
2,,221909724,NitishRamparsad,,0.22,0.13,,0.31,0.23,0.17,0.22,0.18,0.02
3,,268899621,trattovideo,,0.29,0.21,,0.45,0.15,0.26,0.17,0.22,0.16
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,,233362015,Cllr_Mike_Green,,0.29,0.22,,0.41,0.37,0.14,0.41,0.02,0.12
7,,55035498,huhuhase,,0.36,0.17,,0.3,0.27,0.16,0.29,0.47,0.15
8,,,,,,,,,,,,,
9,,17019081,Kilsally,,0.3,0.27,,0.49,0.16,0.23,0.22,0.21,0.24
10,,,,,,,,,,,,,
11,,3345381520,DalgetySusan,,0.24,0.17,,0.28,0.08,0.21,0.27,0.08,0.14
12,,22523182,EvilEsq,,0.38,0.47,,0.31,0.24,0.33,0.27,0.18,0.56
13,,15071386,StratfordDC,,0.39,0.47,,0.45,0.44,0.34,0.33,0.21,0.29
14,,68806595,suzannelynch1,,0.42,0.37,,0.48,0.25,0.42,0.23,0.2,0.32
15,,,,,,,,,,,,,
16,,271090135,roscotc,,0.22,0.22,,0.19,0.12,0.11,0.24,0.49,0.12
17,,137102168,NikolaiFoster,,0.33,0.26,,0.5,0.26,0.4,0.42,0.12,0.16
18,,80832320,mskerrylewis,,0.25,0.23,,0.26,0.26,0.14,0.19,0.1,0.09
19,,25372103,HITCnews,,0.57,0.49,,0.62,0.47,0.62,0.37,0.37,0.46
20,,,,,,,,,,,,,
21,,202579248,ewanmclennan,,0.21,0.13,,0.25,0.21,0.26,0.23,0.48,0.05
22,,40472892,MrBhathal,,0.37,0.21,,0.41,0.11,0.28,0.41,0.28,0.15
23,,85428785,_LoveEarth_,,0.2,0.14,,0.24,0.6,0.66,0.24,0.51,0.08
24,,578479816,DanialParry,,0.52,0.41,,0.23,0.47,0.25,0.21,0.18,0.25
25,,24937265,shivamLM,,0.19,0.16,,0.3,0.18,0.12,0.18,0.27,0.03
26,,411583599,SamvanRooy1,,0.38,0.38,,0.53,0.18,0.38,0.1,0.19,0.34
27,,59663522,hdBerretz,,0.37,0.26,,0.64,0.34,0.59,0.42,0.16,0.2
28,,4097635690,MomentumBristol,,0.33,0.36,,0.39,0.29,0.24,0.28,0.25,0.19
29,,186947829,1markconway,,0.41,0.18,,0.24,0.15,0.11,0.3,0.11,0.25
30,,213651704,manse7,,0.33,0.3,,0.38,0.24,0.21,0.21,0.38,0.27
31,,293972969,GraceREThomas,,0.2,0.21,,0.24,0.26,0.29,0.2,0.08,0.02
32,,17282663,nickwallis,,0.28,0.23,,0.2,0.18,0.15,0.26,0.12,0.14
33,,375539222,djhiom,,0.61,0.49,,0.36,0.1,0.17,0.27,0.28,0.33
34,,201003224,EllieCumbo,,0.3,0.16,,0.31,0.13,0.08,0.13,0.14,0.13
35,,22715462,finborough,,0.41,0.47,,0.47,0.34,0.53,0.54,0.42,0.56
36,,364742818,cwoodie49,,0.14,0.12,,0.36,0.11,0.19,0.24,0.17,0.03
37,,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,,,,,,,,,,,,,
40,,227070529,JSandlerClarke,,0.35,0.2,,0.49,0.31,0.26,0.18,0.22,0.06
41,,61073310,CalumSPlath,,0.31,0.2,,0.29,0.24,0.19,0.13,0.13,0.13
42,,19720151,the_woozle,,0.24,0.21,,0.4,0.24,0.06,0.26,0.12,0.02
43,,844525442,cfcunofficial,,0.31,0.05,,0.39,0.1,0.13,0.39,0.21,0.02
44,,1525326756,megbrear,,0.2,0.04,,0.3,0.13,0.06,0.18,0.16,0.02
45,,179189788,Tommy_AVFC,,0.41,0.26,,0.32,0.29,0.13,0.22,0.22,0.19
46,,33013666,TrudyBoulert,,0.13,0.11,,0.19,0.12,0.06,0.07,0.06,0.04
47,,,,,,,,,,,,,
48,,346454152,SOPHIAWEBSTER,,0.53,0.48,,0.68,0.49,0.47,0.59,0.31,0.2
49,,1726978286,EmmaKeelingNZ,,0.23,0.33,,0.16,0.26,0.11,0.21,0.06,0.5
50,,220699421,lozzaalaurenn,,0.3,0.24,,0.31,0.23,0.05,0.13,0.34,0.03
51,,2237744636,AndrzejRysuje,,0.37,0.34,,0.55,0.19,0.41,0.43,0.46,0.46
52,,335256043,FSBShpsHfdsWrcs,,0.58,0.48,,0.68,0.43,0.46,0.55,0.34,0.28
53,,60893663,rachellarcombe,,0.2,0.12,,0.28,0.16,0.06,0.22,0.38,0.12
54,,,,,,,,,,,,,
55,,929903647,KirkKus,,0.32,0.15,,0.32,0.1,0.16,0.3,0.06,0.07
56,,,,,,,,,,,,,
57,,104527736,AlanRowlette,,0.46,0.46,,0.43,0.32,0.37,0.25,0.38,0.26
58,,124502281,cwendick,,0.32,0.21,,0.46,0.23,0.11,0.18,0.17,0.05
