,class,p_neg,p_pos
0,pos,0.005214118576,0.994785881424
1,pos,0.0491735877389,0.950826412261
2,neg,0.639642258187,0.360357741813
3,neg,0.542813378031,0.457186621969
4,pos,0.0560048478258,0.943995152174
5,pos,0.407631167182,0.592368832818
6,pos,0.166666666667,0.833333333333
7,pos,0.015697156588,0.984302843412
8,neg,0.567307692308,0.432692307692
9,pos,0.136363636364,0.863636363636
10,pos,0.387576515136,0.612423484864
11,pos,0.49902616997,0.50097383003
12,pos,0.0176661585569,0.982333841443
13,neg,0.842874394288,0.157125605712
14,pos,0.0834988900387,0.916501109961
15,pos,0.3199139966,0.6800860034
16,pos,0.0817827431823,0.918217256818
17,pos,0.5,0.5
18,pos,0.0762306061092,0.923769393891
19,pos,0.5,0.5
20,pos,0.296149517654,0.703850482346
21,pos,0.211575304999,0.788424695001
22,neg,0.628757561535,0.371242438465
23,pos,0.0217391304348,0.978260869565
24,pos,0.102196136003,0.897803863997
25,pos,0.0281940477723,0.971805952228
26,pos,0.415164778579,0.584835221421
27,pos,0.378366268827,0.621633731173
28,neg,0.944601836851,0.0553981631485
29,pos,0.0176661585569,0.982333841443
30,pos,0.0217391304348,0.978260869565
31,pos,0.449162036393,0.550837963607
32,pos,0.0817044566067,0.918295543393
33,pos,0.46880429281,0.53119570719
34,pos,0.120222467027,0.879777532973
35,pos,0.464015151515,0.535984848485
36,pos,0.404411764706,0.595588235294
37,pos,0.5,0.5
38,pos,0.0541471380629,0.945852861937
39,pos,0.0732951130244,0.926704886976
40,pos,0.24944461268,0.75055538732
41,pos,0.0240386263018,0.975961373698
42,pos,0.5,0.5
43,pos,0.00789208857307,0.992107911427
44,pos,0.37967264281,0.62032735719
45,pos,0.333699157643,0.666300842357
46,pos,0.0620683112877,0.937931688712
47,pos,0.149192129614,0.850807870386
48,pos,0.0762306061092,0.923769393891
49,pos,0.382670442086,0.617329557914
50,pos,0.0479032770297,0.95209672297
51,pos,0.134323385074,0.865676614926
52,pos,0.0499231543265,0.950076845674
53,pos,0.364064846126,0.635935153874
54,neg,0.524604963357,0.475395036643
55,pos,0.212312016306,0.787687983694
