id_str,screen_name,english,universal,content,friend,network,sentiment,temporal,user
,93586294,tobiastrelle,,0.31,0.16,,0.39,0.23,0.16,0.34,0.36,0.1
,2318634159,KoolBasque,,0.45,0.41,,0.48,0.15,0.56,0.23,0.08,0.19
711886803616321536,EllaMaszkowska,0.42,0.3,0.56,0.56,0.24,0.36,0.49,0.13
31205543,maanie1975,0.46,0.34,0.6,0.4,0.36,0.42,0.52,0.33
1931982908,19MW98,0.32,0.28,0.45,0.19,0.46,0.34,0.4,0.14
19037388,Palayo,0.27,0.27,0.44,0.27,0.3,0.23,0.04,0.04
3070119119,Porthynys,0.4,0.34,0.38,0.24,0.4,0.21,0.31,0.32
2862044864,Clatterbagin,,0.24,0.11,,0.5,0.12,0.11,0.35,0.3,0.32,
4220627254,anti_digest,,0.7,0.63,,0.7,0.6,0.64,0.27,0.06,0.28,
201630057,therealgregjack,,0.23,0.14,,0.27,0.29,0.13,0.13,0.11,0.03,
,,,,,,,,,,,,
485958063,tsui_lau,,0.13,0.06,,0.34,0.08,0.04,0.09,0.23,0.02,
,,,,,,,,,,,,
,17676767,gabzqc,,0.22,0.23,,0.3,0.31,0.19,0.39,0.23,0.12
,306817696,theTallTone,,0.25,0.19,,0.32,0.24,0.09,0.37,0.27,0.01
,268430219,divojen,,0.5,0.45,,0.47,0.59,0.54,0.47,0.31,0.36
,124280192,VogelvrijeHArts,,0.34,0.29,,0.45,0.37,0.5,0.12,0.16,0.46
2425418960,HazelTraining,,0.43,0.37,,0.41,0.37,0.42,0.48,0.24,0.46,
2494833214,WYE_John,,0.41,0.3,,0.66,0.33,0.23,0.51,0.3,0.46,
,,,,,,,,,,,,
7686472,pinkyxoxx,,0.19,0.1,,0.29,0.23,0.13,0.25,0.14,0.1,
2291810012,Royal_Filangeri,,0.6,0.65,,0.67,0.46,0.77,0.6,0.35,0.4,
3905021361,valerio_fratoni,,0.37,0.23,,0.42,0.43,0.16,0.18,0.29,0.19,
271307605,nietie66,,0.12,0.09,,0.28,0.24,0.15,0.26,0.2,0.02,
16299288,ale_imbriano,,0.33,0.11,,0.37,0.13,0.21,0.04,0.1,0.1,
,,,,,,,,,,,,
439601992,the_oblomovist,,0.32,0.24,,0.29,0.28,0.1,0.17,0.14,0.09,
,,,,,,,,,,,,
,3082750542,KidKarbon,,0.33,0.21,,0.43,0.13,0.11,0.29,0.18,0.02
,,,,,,,,,,,,
,46517202,petrusenko_be,,0.22,0.22,,0.34333333333333327,0.7931471336512232,0.7246253468753469,0.46,0.83,0.27
,,,,,,,,,,,,
570762775,RThillaye,,0.31,0.17,,0.48,0.31,0.31,0.27,0.19,0.03,
,,,,,,,,,,,,
485012020,ThaabitManan,,0.21,0.16,,0.43,0.27,0.26,0.37,0.29,0.04,
70645533,achryss,,0.39,0.34,,0.46,0.55,0.25,0.4,0.38,0.2,
54450101,arturoangel20,,0.33,0.32,,0.45333333333333337,0.27,0.21,0.1,0.18,0.2,
,,,,,,,,,,,,
,1708044392,JuliusZie,,0.34,0.28,,0.39,0.12,0.14,0.2,0.36,0.36
,1259421973,rachelfaux18,,0.14,0.17,,0.26,0.4,0.05,0.15,0.24,0.05
,15779992,stephhallatt,,0.2,0.21,,0.24,0.28,0.37,0.19,0.16,0.16
,,,,,,,,,,,,
,,,,,,,,,,,,
,631936570,aradder33,,0.05,0.06,,0.26,0.1,0.09,0.17,0.03,0.02
,1203266360,pratoshnivedita,,0.45,0.3,,0.47,0.36,0.37,0.27,0.25,0.23
,1663080319,peter_longdon,,0.24,0.34,,0.38,0.47,0.18,0.5,0.35,0.12
,859257019,thomaskyle300,,0.34,0.37,,0.4,0.25,0.2,0.29,0.59,0.42
181437017,RealDabbsi,0.26,0.17,0.28,0.06,0.14,0.21,0.31,0.03
1569813770,andyg00d,0.35,0.29,0.38,0.34,0.2,0.18,0.09,0.05
4776276681,UnaNuevaEuropa,0.41,0.28,0.48,0.31,0.2,0.6,0.8,0.32
1962740275,r3mus7upin,0.24,0.28,0.53,0.17,0.21,0.4,0.2,0.22
123695612,Filip_Solsjo,0.35,0.37,0.51,0.4,0.3,0.25,0.21,0.32
903645674,eckartwoertz,0.35,0.25,0.5066666666666666,0.24,0.24,0.2,0.44,0.12
297679088,mynameisyouband,0.28,0.23,0.24,0.21,0.21,0.2,0.22,0.23
68137754,andyrv1960,0.47,0.37,0.55,0.38,0.6,0.45,0.4,0.3
453482376,silvianalon,0.25,0.09,0.41,0.13,0.09,0.12,0.04,0.04
406364433,CodyLearr,0.15,0.05,0.22,0.13,0.02,0.2,0.13,0.04
,,,,,,,,,,,,
,2354368831,LondonNetworker,,0.47,0.49,,0.49,0.38,0.52,0.38,0.45,0.5
,3232622484,bloom_entity,,0.24,0.25,,0.28,0.2,0.07,0.14082931325053383,0.27,0.06
,531757575,Jean_de_Rouen,,0.35,0.18,,0.5733333333333334,0.23,0.28,0.41,0.23,0.35
,,,,,,,,,,,,
476047095,DebbieG08,0.25,0.13,0.29,0.18,0.35,0.39,0.23,0.01
2265683134,garethg0704,0.25,0.22,0.38,0.24,0.39,0.44,0.24,0.29
563443401,FreeFromEURule,0.35,0.24,0.34,0.24,0.34,0.32,0.33,0.16
422104097,sophiem001,0.17,0.11,0.43,0.1,0.28,0.21,0.59,0.07
742572652854906880,happyburkean,0.32,0.24,0.45,0.22,0.25,0.47,0.37,0.22
73599336,bradwhittingham,,0.31,0.24,,0.37,0.41,0.26,0.23,0.43,0.23,
,,,,,,,,,,,,
,,,,,,,,,,,,
20755099,yorkshireguy,,0.29,0.18,,0.37,0.3,0.32,0.12,0.41,0.04,
36722479,MHRoe,,0.16,0.13,,0.2,0.19,0.28,0.35,0.33,0.11,
365745957,jack_s_hewson,0.3,0.22,0.25,0.3,0.13,0.12,0.14,0.02
990802033,EUwatchers,0.43,0.36,0.54,0.33,0.36,0.14,0.11,0.35
2603397850,sanchezreal1,0.35,0.23,0.45,0.19,0.07,0.16,0.25,0.02
698184521301303296,NWStrongerIn,0.4,0.38,0.37,0.38,0.21,0.33,0.08,0.53
4404072561,CIMA_PL1981,0.33,0.09,0.39,0.18,0.05,0.39,0.14,0.08
366470358,ThisIsKhal,,0.41,0.48,,0.33,0.48,0.08,0.3,0.1,0.28,
21443590,Carmonte,,0.09,0.14,,0.2,0.2,0.25,0.16,0.11,0.1,
,,,,,,,,,,,,
19796410,jennisariot,,0.2,0.16,,0.36,0.3,0.13,0.19,0.14,0.05,
722638229040533504,FEMarkets,,0.46,0.48,,0.7,0.33,0.66,0.66,0.56,0.51,
2897779568,_saurabhsikka,,0.31,0.13,,0.31,0.14,0.22,0.18,0.4,0.11,
,,,,,,,,,,,,
149971022,BerthanPete,,0.29,0.22,,0.46,0.2,0.44,0.32,0.24,0.21,
221732505,AnoifPonsonby,,0.32,0.28,,0.43,0.25,0.22,0.47,0.64,0.25,
58991377,DIANAATURNBULL,,0.31,0.2,,0.33,0.17,0.19,0.38,0.11,0.02,
,,,,,,,,,,,,
,,,,,,,,,,,,
,311641458,ammanncristina,,0.33,0.35,,0.5333333333333333,0.42,0.09,0.3,0.39,0.19
,3575644521,paul_iafrica,,0.31,0.36,,0.39,0.12,0.3,0.17,0.13,0.06
,1030997492,Rorydomlw,,0.17,0.08,,0.25,0.15,0.09,0.16,0.2,0.03
,,,,,,,,,,,,
,,,,,,,,,,,,
,126043771,ylimewilkinson,,0.19,0.19,,0.31,0.18,0.21,0.28,0.11,0.02
,703113220693753857,InquisitiveFela,,0.21,0.21,,0.39,0.2,0.05,0.22,0.31,0.09
,83342310,cheisback,,0.19,0.2,,0.28,0.15,0.11,0.24,0.26,0.02
24690489,johanpaul,0.17,0.08,0.43,0.19,0.09,0.1,0.37,0.19
19028223,bleekerk,0.27,0.13,0.4,0.23,0.24,0.15,0.11,0.14
706709245409030144,TaniN315,0.33,0.3,0.43,0.3,0.25,0.29,0.23,0.29
29731570,sassywed11,0.24,0.28,0.19,0.25,0.23,0.19,0.19,0.23
227082774,Bank_Able,0.39,0.31,0.47,0.13,0.2,0.27,0.31,0.25
,,,,,,,,,,,,
,,,,,,,,,,,,
,2649558922,MarkWakerley,,0.29,0.21,,0.48,0.13,0.2,0.27,0.11,0.15
,585210834,CultOfTheV8,,0.18,0.24,,0.41,0.29,0.46,0.44,0.25,0.07
,570041682,johncharnick,,0.39,0.32,,0.48,0.5,0.32,0.52,0.81,0.29
2611087060,womanonthebeech,0.32,0.26,0.46,0.3,0.27,0.43,0.49,0.06
50489154,Benjamiinweezy,0.23,0.3,0.27,0.18,0.1,0.06,0.18,0.17
107136186,htheoharis,0.32,0.23,0.45,0.14,0.56,0.24,0.27,0.3
493265079,Bernard80007501,0.4,0.28,0.5333333333333333,0.25,0.33,0.17,0.2,0.15
498087646,Yanners86,0.14,0.14,0.4,0.23,0.14,0.28,0.19,0.21
3225580305,TidalCharm,0.75,0.6407460317460317,0.73,0.58,0.8723971583971586,0.66,0.45444930170025055,0.7838863574969136
16577296,carboncoach,0.31,0.27,0.45,0.39,0.27,0.25,0.14,0.17
2254975486,rafael_o3,0.26,0.17,0.49333333333333335,0.28,0.1,0.27,0.29,0.04
392275233,1967shawn,0.36,0.2,0.35,0.4,0.3,0.41,0.31,0.32
2302326066,jimrice_,0.37,0.25,0.45,0.18,0.23,0.26,0.28,0.19
385336839,AFrechoso,,0.23,0.11,,0.49,0.19,0.21,0.28,0.08,0.03,
540745518,4jp6,,0.42,0.45,,0.51,0.37,0.21,0.36,0.61,0.3,
,,,,,,,,,,,,
731592435764199429,colbaltsparkle,,0.41,0.31,,0.52,0.3,0.25,0.44,0.45,0.08,
,,,,,,,,,,,,
608375942,ChrisPateman2,0.3,0.2,0.43,0.37,0.17,0.5,0.24,0.05
60964525,adrian_king,0.64,0.57,0.46,0.44,0.35,0.26,0.15,0.73
1978165356,Stredni_trida,0.41,0.29,0.46,0.23,0.17,0.255,0.15,0.21
485762722,jmyorks,0.32,0.15,0.49,0.14,0.31,0.44,0.04,0.01
2411182830,dr_jbj,0.4,0.36,0.46,0.33,0.27,0.29,0.43,0.5
31363501,CoffeeKev,0.12,0.12,0.37,0.28,0.29,0.13,0.15,0.14
867213338,lozzacash,0.59,0.47,0.25,0.5,0.32,0.19,0.24,0.09
2870592887,MgrGemma,0.53,0.51,0.52,0.35,0.76,0.76,0.55,0.31
113415132,Rezhasan,0.34,0.22,0.38,0.39,0.39,0.27,0.19,0.28
2228504462,TedYarbrough1,0.36,0.29,0.5266666666666666,0.18,0.23,0.26,0.14,0.2
21329773,willbrooks1989,,0.18,0.13,,0.24,0.17,0.14,0.13,0.26,0.07,
,,,,,,,,,,,,
,,,,,,,,,,,,
